pros,cons,temp_full,lang,pros_clean,cons_clean
Scheduling and time off is decently ok.,Sometimes you will be working by yourself with no self check-out,Scheduling and time off is decently ok. Sometimes you will be working by yourself with no self check-out,en,scheduling time decently ok,work self checkout
helps develop communication and customer service,standing for long periods of time,helps develop communication and customer service standing for long periods of time,en,help develop communication customer service,stand long period time
Good hours and good coworkers,Have to sell credit cards for each shift,Good hours and good coworkers Have to sell credit cards for each shift,en,good hour good coworker,sell credit card shift
"Good hourly pay, lots of natural light in the store.",Standing for long periods of time and be hard on your back.,"Good hourly pay, lots of natural light in the store. Standing for long periods of time and be hard on your back.",en,good hourly pay lot natural light store,stand long period time hard
Work life balance Company culture Benefits,Salary Package Growth opportunities N/A,Work life balance Company culture Benefits Salary Package Growth opportunities N/A,en,work life balance company culture benefit,salary package growth opportunity na
It was an easy way to make extra money,You have no free time,It was an easy way to make extra money You have no free time,en,easy way extra money,free time
